biggest
bluest
boldest
bossiest
bravest
briefest
brightest
broadest
calmest
classiest
cleanest
clearest
cleverest
closest
cloudiest
clumsiest
coarsest
coldest
coolest
craziest
creamiest
creepiest
crispiest
cruellest
crunchiest
curliest
curviest
cutest
dampest
darkest
deadliest
deepest
densest
dirtiest
driest
dullest
dumbest
dustiest
earliest
easiest
faintest
fairest
fanciest
fastest
fattest
fewest
fiercest
filthiest
finest
firmest
fittest
flakiest
flattest
freshest
friendliest
fullest
funniest
gentlest
gloomiest
best
grandest
gravest
greasiest
greatest
greediest
grossest
guiltiest
hairiest
handiest
happiest
hardest
harshest
healthiest
heaviest
highest
hippest
hottest
humblest
hungriest
iciest
itchiest
juiciest
kindest
largest
latest
laziest
lightest
likeliest
littlest
liveliest
loneliest
longest
loudest
loveliest
lowest
maddest
meanest
messiest
mildest
moistest
narrowest
nastiest
naughtiest
nearest
neatest
neediest
newest
nicest
noisiest
oddest
oiliest
plainest
politest
poorest
prettiest
proudest
purest
quickest
quietest
rarest
rawest
richest
ripest
riskiest
roomiest
roughest
rudest
rustiest
saddest
safest
saltiest
sanest
scariest
shallowest
sharpest
shiniest
shortest
shyest
silliest
simplest
sincerest
skinniest
sleepiest
slimmest
slimiest
slowest
smallest
smartest
smelliest
smokiest
smoothest
softest
soonest
sorest
sorriest
sourest
spiciest
steepest
stingiest
strangest
strictest
strongest
sunniest
sweatiest
sweetest
tallest
tannest
tastiest
thickest
thinnest
thirstiest
tiniest
toughest
truest
ugliest
warmest
weakest
wealthiest
weirdest
wettest
widest
wildest
windiest
wisest
worldliest
worthiest
youngest
